epoch,dice_inner_0,dice_inner_1,dice_inner_2,dice_inner_3,dice_inner_4,loss,val_dice_inner_0,val_dice_inner_1,val_dice_inner_2,val_dice_inner_3,val_dice_inner_4,val_loss
0,0.9022376537322998,0.06209409236907959,0.6489999890327454,0.0430000014603138,0.7829999923706055,0.813931405544281,0.9864984750747681,3.34566614412779e-08,0.2935323417186737,1.2771422808199873e-10,0.6915422677993774,0.7832475304603577
1,0.9900683760643005,3.865495301624833e-08,0.6489999890327454,1.286254019960964e-10,0.7829999923706055,0.6937949657440186,0.9865610599517822,3.34566614412779e-08,0.2935323417186737,1.2903239587913617e-10,0.6915422677993774,0.783246636390686
2,0.9908667802810669,3.865491748911154e-08,0.6489999890327454,1.5359585825436284e-10,0.7829999923706055,0.6937763690948486,0.988564133644104,3.34566614412779e-08,0.2935323417186737,1.9267795692279321e-10,0.6915422677993774,0.7832069993019104
3,0.9920861124992371,3.865494235810729e-08,0.6489999890327454,1.926806075802645e-10,0.7829999923706055,0.6937531232833862,0.988564133644104,3.34566614412779e-08,0.2935323417186737,1.9267795692279321e-10,0.6915422677993774,0.7832069993019104
4,0.9920861124992371,3.8654935252679934e-08,0.6489999890327454,1.926806075802645e-10,0.7829999923706055,0.6937528252601624,0.988564133644104,3.34566614412779e-08,0.2935323417186737,1.9267795692279321e-10,0.6915422677993774,0.7832069993019104
5,0.9920879006385803,3.8654928147252576e-08,0.6489999890327454,1.9287975383530664e-10,0.7829999923706055,0.6937530040740967,0.9885720014572144,3.34566614412779e-08,0.2935323417186737,1.9305058940322084e-10,0.6915422677993774,0.7832067608833313
6,0.9920905828475952,3.8654931699966255e-08,0.6489999890327454,1.9305110288136973e-10,0.7829999923706055,0.6937530636787415,0.9885720014572144,3.34566614412779e-08,0.2935323417186737,1.9305058940322084e-10,0.6915422677993774,0.7832067608833313
7,0.992091178894043,3.8654935252679934e-08,0.6489999890327454,1.9306699294840968e-10,0.7829999923706055,0.6937530040740967,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
8,0.9921042919158936,3.865495301624833e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.6937528252601624,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
9,0.9921044111251831,3.865492104182522e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.6937528252601624,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
10,0.9921042323112488,3.8654935252679934e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.6937530040740967,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
11,0.9921040534973145,3.865494235810729e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.6937524080276489,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
12,0.9921042919158936,3.8654935252679934e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.693752646446228,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
13,0.992104172706604,3.8654931699966255e-08,0.6489999890327454,1.9379696458710072e-10,0.7829999923706055,0.693752646446228,0.9885876178741455,3.34566614412779e-08,0.2935323417186737,1.9379826909915465e-10,0.6915422677993774,0.7832065224647522
14,0.9927976131439209,3.865494235810729e-08,0.6489999890327454,2.6138130548858385e-10,0.7829999923706055,0.693733811378479,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
15,0.994092583656311,3.8654935252679934e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937054395675659,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
16,0.9940923452377319,3.8654931699966255e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937056183815002,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
17,0.9940928220748901,3.8654931699966255e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937052607536316,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
18,0.9940925240516663,3.8654935252679934e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937052607536316,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
19,0.9940927624702454,3.86549245945389e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937050819396973,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
20,0.9940924048423767,3.865496722710304e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937053799629211,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
21,0.9940921068191528,3.865494946353465e-08,0.6489999890327454,3.8759392917420143e-10,0.7829999923706055,0.6937050819396973,0.9905961155891418,3.34566614412779e-08,0.2935323417186737,3.875965381983093e-10,0.6915422677993774,0.7831665873527527
