epoch,dice_inner_0,dice_inner_1,dice_inner_2,dice_inner_3,dice_inner_4,f1-score,loss,val_dice_inner_0,val_dice_inner_1,val_dice_inner_2,val_dice_inner_3,val_dice_inner_4,val_f1-score,val_loss
0,0.7501683235168457,0.45437440276145935,0.1873805820941925,5.722587334555662e-12,0.06564553827047348,0.2915135324001312,0.9476171731948853,0.7919931411743164,0.3762376308441162,0.6225805282592773,4.804760755927617e-12,0.21782177686691284,0.4017266631126404,0.9156885147094727
1,0.8509225249290466,0.1797371655702591,0.2619282901287079,6.436762147593589e-12,0.17793841660022736,0.29410555958747864,0.905109703540802,0.8346925973892212,0.5609456300735474,0.7187613248825073,5.587539111950868e-12,0.4778658449649811,0.5184532999992371,0.8738786578178406
2,0.8740464448928833,0.22945299744606018,0.340949147939682,7.361616524703685e-12,0.24301685392856598,0.33749333024024963,0.8908150792121887,0.8709713220596313,0.5112954378128052,0.6028690934181213,7.1509287206950045e-12,0.3465346395969391,0.4663342535495758,0.9110948443412781
3,0.9025715589523315,0.3391372561454773,0.4020707607269287,9.208770031243763e-12,0.29383987188339233,0.3875237703323364,0.8832037448883057,0.8950157761573792,0.4392938017845154,0.5789312124252319,8.469897526397485e-12,0.2357664257287979,0.4298016130924225,0.9101144671440125
4,0.9275864362716675,0.3774332106113434,0.3997902572154999,1.243702623526799e-11,0.28674551844596863,0.39831164479255676,0.8786643147468567,0.9335432052612305,0.6647318005561829,0.7436503767967224,1.2937918097977175e-11,0.2968437969684601,0.527754008769989,0.8779683709144592
5,0.9749335050582886,0.407013863325119,0.44166895747184753,1.5487235105471342e-10,0.30908986926078796,0.4265414774417877,0.8744316697120667,0.9952324628829956,0.43399515748023987,0.653756320476532,3.9481268254704105e-10,0.273237019777298,0.4712442457675934,0.8989975452423096
6,0.9974028468132019,0.4581541121006012,0.4006645977497101,0.2879999876022339,0.36039432883262634,0.500923752784729,0.8742390275001526,0.9971999526023865,0.450615793466568,0.7636014819145203,0.8712871074676514,0.2605726718902588,0.6686555743217468,0.8837444186210632
7,0.9977402091026306,0.44797444343566895,0.4102124273777008,0.6200000047683716,0.35824596881866455,0.5668351650238037,0.8719126582145691,0.9986205697059631,0.6237623691558838,0.7527379989624023,1.0,0.4365084767341614,0.7623260617256165,0.8924113512039185
8,0.9981896877288818,0.4942112863063812,0.446194589138031,0.6639999747276306,0.4022573232650757,0.6009709239006042,0.8705911040306091,0.9983197450637817,0.6435643434524536,0.7326189279556274,0.9108911156654358,0.41584157943725586,0.7402473092079163,0.8948147296905518
9,0.9983705878257751,0.45179545879364014,0.4721177816390991,0.7409999966621399,0.4387422800064087,0.6204056739807129,0.8686157464981079,0.9985902309417725,0.49949154257774353,0.7725677490234375,1.0,0.5049943923950195,0.7551288604736328,0.882415771484375
10,0.9983919262886047,0.43704700469970703,0.4728878438472748,0.6610000133514404,0.4181341826915741,0.5974926948547363,0.8663910627365112,0.9988536834716797,0.6925153136253357,0.7826863527297974,0.8712871074676514,0.4749826192855835,0.764065146446228,0.8748931288719177
11,0.998561680316925,0.45709285140037537,0.5355395078659058,0.6859999895095825,0.4447973072528839,0.6243988275527954,0.8664150238037109,0.9987816214561462,0.6459996700286865,0.8022492527961731,1.0,0.5121878385543823,0.7918438911437988,0.8693332672119141
12,0.9982140064239502,0.4886191785335541,0.47957003116607666,0.6570000052452087,0.413709819316864,0.6074226498603821,0.8644351959228516,0.9859254956245422,0.2757582664489746,0.43070656061172485,0.21782177686691284,0.2631817162036896,0.43467897176742554,0.9408788681030273
